Course Name,Course URL,About This Course,Description,keywords
CS50's Introduction to Computer Science,https://www.edx.org/learn/computer-science/harvard-university-cs50-s-introduction-to-computer-science?index=product&queryId=e7073eb696d8e22a3439e55b45a1fad4&position=1,"This isCS50x, Harvard University's introduction to the intellectual enterprises of computer science and the art of programming for majors and non-majors alike, with or without prior programming experience. An entry-level course taught by David J. Malan,CS50xteaches students how to think algorithmically and solve problems efficiently. Topics include abstraction, algorithms, data structures, encapsulation, resource management, security, software engineering, and web development. Languages include C, Python, SQL, and JavaScript plus CSS and HTML. Problem sets inspired by real-world domains of biology, cryptography, finance, forensics, and gaming. The on-campus version ofCS50x, CS50, is Harvard's largest course. | Students who earn a satisfactory score on 9 problem sets (i.e., programming assignments) and a final project are eligible for a certificate. This is a self-paced course–you may takeCS50xon your own schedule. | HarvardX requires individuals who enroll in its courses on edX to abide by the terms of the edX honor code. HarvardX will take appropriate corrective action in response to violations of theedX honor code, which may include dismissal from the HarvardX course; revocation of any certificates received for the HarvardX course; or other remedies as circumstances warrant. No refunds will be issued in the case of corrective action for such violations. Enrollees who are taking HarvardX courses as part of another program will also be governed by the academic policies of those programs. | HarvardX pursues the science of learning. By registering as an online learner in an HX course, you will also participate in research about learning. Read ourresearch statementto learn more. | Harvard University and HarvardX are committed to maintaining a safe and healthy educational and work environment in which no member of the community is excluded from participation in, denied the benefits of, or subjected to discrimination or harassment in our program. All members of the HarvardX community are expected to abide by Harvard policies on nondiscrimination, including sexual harassment, and the edX Terms of Service. If you have any questions or concerns, please contactharvardx@harvard.eduand/orreport your experience through the edX contact form.","this iscs50x, harvard university's introduction to the intellectual enterprises of computer science and the art of programming for majors and non-majors alike, with or without prior programming experience. an entry-level course taught by david j. malan,cs50xteaches students how to think algorithmically and solve problems efficiently. topics include abstraction, algorithms, data structures, encapsulation, resource management, security, software engineering, and web development. languages include c, python, sql, and javascript plus css and html. problem sets inspired by real-world domains of biology, cryptography, finance, forensics, and gaming. the on-campus version ofcs50x, cs50, is harvard's largest course. | students who earn a satisfactory score on 9 problem sets (i.e., programming assignments) and a final project are eligible for a certificate. this is a self-paced course–you may takecs50xon your own schedule. | harvardx requires individuals who enroll in its courses on edx to abide by the terms of the edx honor code. harvardx will take appropriate corrective action in response to violations of theedx honor code, which may include dismissal from the harvardx course; revocation of any certificates received for the harvardx course; or other remedies as circumstances warrant. no refunds will be issued in the case of corrective action for such violations. enrollees who are taking harvardx courses as part of another program will also be governed by the academic policies of those programs. | harvardx pursues the science of learning. by registering as an online learner in an hx course, you will also participate in research about learning. read ourresearch statementto learn more. | harvard university and harvardx are committed to maintaining a safe and healthy educational and work environment in which no member of the community is excluded from participation in, denied the benefits of, or subjected to discrimination or harassment in our program. all members of the harvardx community are expected to abide by harvard policies on nondiscrimination, including sexual harassment, and the edx terms of service. if you have any questions or concerns, please contactharvardx@harvard.eduand/orreport your experience through the edx contact form.","programming, harvardx, courses, iscs50x, cs50, assignments, ofcs50x, cs50xteaches, harvard, programs"
CS50's Introduction to Programming with Python,https://www.edx.org/learn/python/harvard-university-cs50-s-introduction-to-programming-with-python?index=product&queryId=e7073eb696d8e22a3439e55b45a1fad4&position=2,"An introduction to programming using a language called Python. Learn how to read and write code as well as how to test and ""debug"" it. Designed for students with or without prior programming experience who'd like to learn Python specifically. Learn about functions, arguments, and return values (oh my!); variables and types; conditionals and Boolean expressions; and loops. Learn how to handle exceptions, find and fix bugs, and write unit tests; use third-party libraries; validate and extract data with regular expressions; model real-world entities with classes, objects, methods, and properties; and read and write files. Hands-on opportunities for lots of practice. Exercises inspired by real-world programming problems. No software required except for a web browser, or you can write code on your own PC or Mac. | WhereasCS50xitself focuses on computer science more generally as well as programming with C, Python, SQL, and JavaScript, this course, aka CS50P, is entirely focused on programming with Python. You can take CS50P before CS50x, during CS50x, or after CS50x. But for an introduction to computer science itself, you should still take CS50x!","an introduction to programming using a language called python. learn how to read and write code as well as how to test and ""debug"" it. designed for students with or without prior programming experience who'd like to learn python specifically. learn about functions, arguments, and return values (oh my!); variables and types; conditionals and boolean expressions; and loops. learn how to handle exceptions, find and fix bugs, and write unit tests; use third-party libraries; validate and extract data with regular expressions; model real-world entities with classes, objects, methods, and properties; and read and write files. hands-on opportunities for lots of practice. exercises inspired by real-world programming problems. no software required except for a web browser, or you can write code on your own pc or mac. | whereascs50xitself focuses on computer science more generally as well as programming with c, python, sql, and javascript, this course, aka cs50p, is entirely focused on programming with python. you can take cs50p before cs50x, during cs50x, or after cs50x. but for an introduction to computer science itself, you should still take cs50x!","programming, python, cs50x, software, cs50p, practice, classes, students, introduction, learn"
CS50's Introduction to Artificial Intelligence with Python,https://www.edx.org/learn/artificial-intelligence/harvard-university-cs50-s-introduction-to-artificial-intelligence-with-python?index=product&queryId=e7073eb696d8e22a3439e55b45a1fad4&position=3,"This course explores the concepts and algorithms at the foundation of modern artificial intelligence, diving into the ideas that give rise to technologies like game-playing engines, handwriting recognition, and machine translation. Through hands-on projects, students gain exposure to the theory behind graph search algorithms, classification, optimization, machine learning, large language models, and other topics in artificial intelligence as they incorporate them into their own Python programs. By course’s end, students emerge with experience in libraries for machine learning as well as knowledge of artificial intelligence principles that enable them to design intelligent systems of their own.","this course explores the concepts and algorithms at the foundation of modern artificial intelligence, diving into the ideas that give rise to technologies like game-playing engines, handwriting recognition, and machine translation. through hands-on projects, students gain exposure to the theory behind graph search algorithms, classification, optimization, machine learning, large language models, and other topics in artificial intelligence as they incorporate them into their own python programs. by course’s end, students emerge with experience in libraries for machine learning as well as knowledge of artificial intelligence principles that enable them to design intelligent systems of their own.","algorithms, python, handwriting, learning, search, libraries, recognition, programs, knowledge, machine"
CS50's Introduction to Cybersecurity,https://www.edx.org/learn/cybersecurity/harvard-university-cs50-s-introduction-to-cybersecurity?index=product&queryId=e7073eb696d8e22a3439e55b45a1fad4&position=4,"This is CS50's introduction to cybersecurity for technical and non-technical audiences alike. Learn how to protect your own data, devices, and systems from today's threats and how to recognize and evaluate tomorrow's as well, both at home and at work. Learn to view cybersecurity not in absolute terms but relative, a function of risks and rewards (for an adversary) and costs and benefits (for you). Learn to recognize cybersecurity as a trade-off with usability itself. Course presents both high-level and low-level examples of threats, providing students with all they need know technically to understand both. Assignments inspired by real-world events.","this is cs50's introduction to cybersecurity for technical and non-technical audiences alike. learn how to protect your own data, devices, and systems from today's threats and how to recognize and evaluate tomorrow's as well, both at home and at work. learn to view cybersecurity not in absolute terms but relative, a function of risks and rewards (for an adversary) and costs and benefits (for you). learn to recognize cybersecurity as a trade-off with usability itself. course presents both high-level and low-level examples of threats, providing students with all they need know technically to understand both. assignments inspired by real-world events.","cybersecurity, threats, protect, usability, risks, introduction, cs50, learn, adversary, technical"
CS50's Web Programming with Python and JavaScript,https://www.edx.org/learn/web-development/harvard-university-cs50-s-web-programming-with-python-and-javascript?index=product&queryId=e7073eb696d8e22a3439e55b45a1fad4&position=5,"Topics include database design, scalability, security, and user experience. Through hands-on projects, you'll learn to write and use APIs, create interactive UIs, and leverage cloud services like GitHub and Heroku. By course's end, you'll emerge with knowledge and experience in principles, languages, and tools that empower you to design and deploy applications on the Internet.","topics include database design, scalability, security, and user experience. through hands-on projects, you'll learn to write and use apis, create interactive uis, and leverage cloud services like github and heroku. by course's end, you'll emerge with knowledge and experience in principles, languages, and tools that empower you to design and deploy applications on the internet.","heroku, github, applications, cloud, projects, apis, topics, tools, database, internet"
Data Science: Machine Learning,https://www.edx.org/learn/machine-learning/harvard-university-data-science-machine-learning?index=product&queryId=e7073eb696d8e22a3439e55b45a1fad4&position=6,"Perhaps the most popular data science methodologies come from machine learning. What distinguishes machine learning from other computer guided decision processes is that it builds prediction algorithms using data. Some of the most popular products that use machine learning include the handwriting readers implemented by the postal service, speech recognition, movie recommendation systems, and spam detectors. | In this course,part ofourProfessional Certificate Program in Data Science, you will learn popular machine learning algorithms, principal component analysis, and regularization by building a movie recommendation system. | You will learn about training data, and how to use a set of data to discover potentially predictive relationships. As you build the movie recommendation system, you will learn how to train algorithms using training data so you can predict the outcome for future datasets. You will also learn about overtraining and techniques to avoid it such as cross-validation. All of these skills are fundamental to machine learning.","perhaps the most popular data science methodologies come from machine learning. what distinguishes machine learning from other computer guided decision processes is that it builds prediction algorithms using data. some of the most popular products that use machine learning include the handwriting readers implemented by the postal service, speech recognition, movie recommendation systems, and spam detectors. | in this course,part ofourprofessional certificate program in data science, you will learn popular machine learning algorithms, principal component analysis, and regularization by building a movie recommendation system. | you will learn about training data, and how to use a set of data to discover potentially predictive relationships. as you build the movie recommendation system, you will learn how to train algorithms using training data so you can predict the outcome for future datasets. you will also learn about overtraining and techniques to avoid it such as cross-validation. all of these skills are fundamental to machine learning.","datasets, learning, training, data, recommendation, algorithms, skills, learn, recognition, predictive"
AI for Everyone: Master the Basics,https://www.edx.org/learn/artificial-intelligence/ibm-ai-for-everyone-master-the-basics?index=product&queryId=e7073eb696d8e22a3439e55b45a1fad4&position=7,"Please Note: Learners who successfully complete this IBM course can earn a skill badge — a detailed, verifiable and digital credential that profiles the knowledge and skills you’ve acquired in this course. Enroll to learn more, complete the course and claim your badge! | In this course, you will learn what AI is and understand its applications and use cases and how it is transforming our lives. You will explore basic AI concepts including machine learning, deep learning, and neural networks as well as use cases and applications of AI. You will be exposed to concerns surrounding AI, including ethics, bias, jobs and the impacts on society. | You will take a glimpse of the future with AI, get advice for starting an AI related career, and wrap up the course by demonstrating AI in action with a mini project. | This AI for Everyone course does not require any programming or computer science expertise and is designed to introduce the basics of AI to anyone whether you have a technical background or not.","please note: learners who successfully complete this ibm course can earn a skill badge — a detailed, verifiable and digital credential that profiles the knowledge and skills you’ve acquired in this course. enroll to learn more, complete the course and claim your badge! | in this course, you will learn what ai is and understand its applications and use cases and how it is transforming our lives. you will explore basic ai concepts including machine learning, deep learning, and neural networks as well as use cases and applications of ai. you will be exposed to concerns surrounding ai, including ethics, bias, jobs and the impacts on society. | you will take a glimpse of the future with ai, get advice for starting an ai related career, and wrap up the course by demonstrating ai in action with a mini project. | this ai for everyone course does not require any programming or computer science expertise and is designed to introduce the basics of ai to anyone whether you have a technical background or not.","ai, learning, programming, learn, basic, skills, learners, expertise, ibm, basics"
Introduction to Data Science with Python,https://www.edx.org/learn/data-science/harvard-university-introduction-to-data-science-with-python?index=product&queryId=e7073eb696d8e22a3439e55b45a1fad4&position=8,"Every single minute, computers across the world collect millions of gigabytes of data. What can you do to make sense of this mountain of data? How do data scientists use this data for the applications that power our modern world? | Data science is an ever-evolving field, using algorithms and scientific methods to parse complex data sets. Data scientists use a range of programming languages, such as Python and R, to harness and analyze data. This course focuses on using Python in data science. By the end of the course, you’ll have a fundamental understanding of machine learning models and basic concepts around Machine Learning (ML) and Artificial Intelligence (AI). | Using Python, learners will study regression models (Linear, Multilinear, and Polynomial) and classification models (kNN, Logistic), utilizing popular libraries such as sklearn, Pandas, matplotlib, and numPy. The course will cover key concepts of machine learning such as: picking the right complexity, preventing overfitting, regularization, assessing uncertainty, weighing trade-offs, and model evaluation. Participation in this course will build your confidence in using Python, preparing you for more advanced study in Machine Learning (ML) and Artificial Intelligence (AI), and advancement in your career. | Learners must have a minimum baseline of programming knowledge (preferably in Python) and statistics in order to be successful in this course. Python prerequisites can be met with an introductory Python course offered through CS50’s Introduction to Programming with Python, and statistics prerequisites can be met via Fat Chance or with Stat110 offered through HarvardX.","every single minute, computers across the world collect millions of gigabytes of data. what can you do to make sense of this mountain of data? how do data scientists use this data for the applications that power our modern world? | data science is an ever-evolving field, using algorithms and scientific methods to parse complex data sets. data scientists use a range of programming languages, such as python and r, to harness and analyze data. this course focuses on using python in data science. by the end of the course, you’ll have a fundamental understanding of machine learning models and basic concepts around machine learning (ml) and artificial intelligence (ai). | using python, learners will study regression models (linear, multilinear, and polynomial) and classification models (knn, logistic), utilizing popular libraries such as sklearn, pandas, matplotlib, and numpy. the course will cover key concepts of machine learning such as: picking the right complexity, preventing overfitting, regularization, assessing uncertainty, weighing trade-offs, and model evaluation. participation in this course will build your confidence in using python, preparing you for more advanced study in machine learning (ml) and artificial intelligence (ai), and advancement in your career. | learners must have a minimum baseline of programming knowledge (preferably in python) and statistics in order to be successful in this course. python prerequisites can be met with an introductory python course offered through cs50’s introduction to programming with python, and statistics prerequisites can be met via fat chance or with stat110 offered through harvardx.","python, programming, learning, sklearn, data, prerequisites, learners, computers, ai, classification"
Data Science: R Basics,https://www.edx.org/learn/r-programming/harvard-university-data-science-r-basics?index=product&queryId=e7073eb696d8e22a3439e55b45a1fad4&position=9,"The first in ourProfessional Certificate Program in Data Science, this course will introduce you to the basics of R programming. You can better retain R when you learn it to solve a specific problem, so you'll use a real-world dataset about crime in the United States. You will learn the R skills needed to answer essential questions about differences in crime across the different states. | We'll cover R's functions and data types, then tackle how to operate on vectors and when to use advanced functions like sorting. You'll learn how to apply general programming features like ""if-else,"" and ""for loop"" commands, and how to wrangle, analyze and visualize data. | Rather than covering every R skill you might need, you'll build a strong foundation to prepare you for the more in-depth courses later in the series, where we cover concepts like probability, inference, regression, and machine learning. We help you develop a skill set that includes R programming, data wrangling with dplyr, data visualization with ggplot2, file organization with UNIX/Linux, version control with git and GitHub, and reproducible document preparation with RStudio. | The demand for skilled data science practitioners is rapidly growing, and this series prepares you to tackle real-world data analysis challenges.","the first in ourprofessional certificate program in data science, this course will introduce you to the basics of r programming. you can better retain r when you learn it to solve a specific problem, so you'll use a real-world dataset about crime in the united states. you will learn the r skills needed to answer essential questions about differences in crime across the different states. | we'll cover r's functions and data types, then tackle how to operate on vectors and when to use advanced functions like sorting. you'll learn how to apply general programming features like ""if-else,"" and ""for loop"" commands, and how to wrangle, analyze and visualize data. | rather than covering every r skill you might need, you'll build a strong foundation to prepare you for the more in-depth courses later in the series, where we cover concepts like probability, inference, regression, and machine learning. we help you develop a skill set that includes r programming, data wrangling with dplyr, data visualization with ggplot2, file organization with unix/linux, version control with git and github, and reproducible document preparation with rstudio. | the demand for skilled data science practitioners is rapidly growing, and this series prepares you to tackle real-world data analysis challenges.","courses, programming, rstudio, basics, learning, dataset, skills, unix, dplyr, program"
Machine Learning and AI with Python,https://www.edx.org/learn/machine-learning/harvard-university-machine-learning-and-ai-with-python?index=product&queryId=e7073eb696d8e22a3439e55b45a1fad4&position=10,"It’s time to make a decision: beach or mountains? When choosing where you want to go for vacation, it can be simple. The options may be a or b. From a decision-making standpoint, it’s easy for the brain to process this decision tree. But, what happens when you’re faced with more complex, multifaceted decisions? You might make a comprehensive pro/con list, rank ordering the most important considerations. But, that can take endless amounts of time that you might not have to spare. When parsing through thousands or millions of data points, you and your organization need to tap into a more sophisticated approach. | The solution? Harnessing the power of artificial intelligence (AI) through machine learning to enhance your decision-making processes. Machine learning with Python can not only help organize data, but machines can also be taught to analyze and learn from disparate data sets – forming hypotheses, creating predictions, and improving decisions. | In Machine Learning and AI with Python, you will explore the most basic algorithm as a basis for your learning and understanding of machine learning: decision trees. Developing your core skills in machine learning will create the foundation for expanding your knowledge into bagging and random forests, and from there into more complex algorithms like gradient boosting. | Using real-world cases and sample data sets, you will examine processes, chart your expectations, review the results, and measure the effectiveness of the machine’s techniques. | Throughout the course, you will witness the evolution of the machine learning models, incorporating additional data and criteria – testing your predictions and analyzing the results along the way to avoid overtraining your data, mitigating overfitting and preventing biased outcomes. | Put your data to work through machine learning with Python.","it’s time to make a decision: beach or mountains? when choosing where you want to go for vacation, it can be simple. the options may be a or b. from a decision-making standpoint, it’s easy for the brain to process this decision tree. but, what happens when you’re faced with more complex, multifaceted decisions? you might make a comprehensive pro/con list, rank ordering the most important considerations. but, that can take endless amounts of time that you might not have to spare. when parsing through thousands or millions of data points, you and your organization need to tap into a more sophisticated approach. | the solution? harnessing the power of artificial intelligence (ai) through machine learning to enhance your decision-making processes. machine learning with python can not only help organize data, but machines can also be taught to analyze and learn from disparate data sets – forming hypotheses, creating predictions, and improving decisions. | in machine learning and ai with python, you will explore the most basic algorithm as a basis for your learning and understanding of machine learning: decision trees. developing your core skills in machine learning will create the foundation for expanding your knowledge into bagging and random forests, and from there into more complex algorithms like gradient boosting. | using real-world cases and sample data sets, you will examine processes, chart your expectations, review the results, and measure the effectiveness of the machine’s techniques. | throughout the course, you will witness the evolution of the machine learning models, incorporating additional data and criteria – testing your predictions and analyzing the results along the way to avoid overtraining your data, mitigating overfitting and preventing biased outcomes. | put your data to work through machine learning with python.","ai, learning, algorithms, python, choosing, explore, tree, organize, decisions, trees"
