Course Name,Course URL,Detailed Description
Introduction to Python,https://www.datacamp.com/courses/intro-to-python-for-data-science,"An Introduction to Python | Python has grown to become the market leader in programming languages and the language of choice for data analysts and data scientists. Demand for data skills is rising because companies want to gain actionable insights from their data. | Discover the Python Basics | This is a Python course for beginners, and we designed it for people with no prior Python experience. It is even suitable if you have no coding experience at all. You will cover the basics of Python, helping you understand common, everyday functions and applications, including how to use Python as a calculator, understanding variables and types, and building Python lists. The first half of this course prepares you to use Python interactively and teaches you how to store, access, and manipulate data using one of the most popular programming languages in the world. | Explore Python Functions and Packages | The second half of the course starts with a view of how you can use functions, methods, and packages to use code that other Python developers have written. As an open-source language, Python has plenty of existing packages and libraries that you can use to solve your problems. | Get Started with NumPy | NumPy is an essential Python package for data science. You’ll finish this course by learning to use some of the most popular tools in the NumPy array and start exploring data in Python."
Introduction to SQL,https://www.datacamp.com/courses/introduction-to-sql,"Get an Introduction to SQL in Two Hours | Much of the world's raw data—from electronic medical records to customer transaction histories—lives in organized collections of tables called relational databases. Being able to wrangle and extract data from these databases using SQL is an essential skill within the data industry and in increasing demand. | In just two hours, you'll get to know the theory and the practice through bite-sized videos and interactive exercises where you can put your new-found skills to the test. | Learn how Relational Databases are Organized | SQL is an essential language for building and maintaining relational databases, which opens the door to a range of careers in the data industry and beyond. You’ll start this course by covering data organization, tables, and best practices for database construction. | Write Your First SQL Queries | The second half of this course looks at creating SQL queries for selecting data that you need from your database. You’ll have the chance to practice your querying skills before moving on to customizing and saving your results. | Understand the Difference Between PostgreSQL and SQL Server | PostgreSQL and SQL Server are two of the most popular SQL flavors. You’ll finish off this course by looking at the differences, benefits, and applications of each. By the end of the course, you’ll have some hands-on experience in learning SQL and the grounding to start applying it to projects or continue your learning in a more specialized direction."
Understanding Artificial Intelligence,https://www.datacamp.com/courses/understanding-artificial-intelligence,"Explore the basics of Artificial Intelligence | AI is transforming our economy, media, industries, and society. Designed for beginners with no coding knowledge required, gain a straightforward introduction to the world of AI. | You’ll demystify common AI buzzwords—machine learning, deep learning, generative AI, etc.—in a way that is easy to understand and apply. | Overview of AI applications | We'll journey through AI's practical applications in daily life, discover how organizations can integrate AI, and discuss the societal impact arising from AI's relentless advancement. We’ll explore also tasks that AI can solve, from helping run traffic more smoothly to optimizing booking systems. | Upon completion, you'll have a comprehensive understanding of AI's capabilities and its influence on society​."
Introduction to Power BI,https://www.datacamp.com/courses/introduction-to-power-bi,"A Thorough Introduction to Power BI | In this 3-hour course, you’ll gain a 360° overview of the Power BI basics and learn how to use the tool to build impactful reports. In this course, you’ll go from zero to hero as you discover how to use this popular business intelligence platform through hands-on exercises.   Before diving into creating visualizations using Power BI's drag-and-drop functionality, you’ll first learn how to confidently load and transform data using Power Query and the importance of data models. You’ll also learn to drill down into reports and make your reports fully interactive. | Learn the Power BI Basics | You’ll start by looking at some of the fundamentals of Power BI, getting to grips with Data, Model, and Report views. You’ll learn to load data sets, build a data model, and discover how to shape and transform your data with Power Query Editor.   As you progress through the course, you’ll have access to hands-on exercises that can hone your skills. You’ll look at various visualizations, sort different data types, and learn to drill deeper into your reports. | Create Powerful Data Visualizations | Once you've covered Power BI in general, you can dig into its options for data visualization. Learn to choose the right visual for your dataset and type, how to make changes to follow visualization best practices and tell a strong story with your data, and learn to sort and format your data for clearer storytelling."
Introduction to R,https://www.datacamp.com/courses/free-introduction-to-r,"Learn R Programming | R programming language is a useful tool for data scientists, analysts, and statisticians, especially those working in academic settings. R's ability to handle complex analyses such as machine learning, financial modeling, and more makes it a valuable asset for a wide range of data-related tasks. | This introduction to R course covers the basics of this open source language, including vectors, factors, lists, and data frames. You’ll gain useful coding skills and be ready to start your own data analysis in R. | Gain an Introduction to R | You’ll get started with basic operations, like using the console as a calculator and understanding basic data types in R. Once you’ve had a chance to practice, you’ll move on to creating vectors and try out your new R skills on a data set based on betting in Las Vegas. | Next, you’ll learn how to work with matrices in R, learning how to create them, and perform calculations with them. You’ll also examine how R uses factors to store categorical data. Finally, you’ll explore how to work with R data frames and lists. | Master the R Basics for Data Analysis | By the time you’ve completed our Introduction to R course, you’ll be able to use R for your own data analysis. These sought-after skills can help you progress in your career and set you up for further learning. This course is part of several tracks, including Data Analyst with R, Data Scientist with R, and R Programming, all of which can help you develop your knowledge."
Intermediate SQL,https://www.datacamp.com/courses/intermediate-sql,"SQL is widely recognized as the most popular language for turning raw data stored in a database into actionable insights. This course uses a films database to teach how to navigate and extract insights from the data using SQL. | Discover Filtering with SQL | You'll discover techniques for filtering and comparing data, enabling you to extract specific information to gain insights and answer questions about the data. | Get Acquainted with Aggregation | Next, you'll get a taste of aggregate functions, essential for summarizing data effectively and gaining valuable insights from large datasets. You'll also combine this with sorting and grouping data, adding another layer of meaning to your insights and analysis. | Write Clean Queries | Finally, you'll be shown some tips and best practices for presenting your data and queries neatly. Throughout the course, you'll have hands-on practice queries to solidify your understanding of the concepts. By the end of the course, you'll have everything you need to know to analyze data using your own SQL code today!"
Understanding Data Science,https://www.datacamp.com/courses/understanding-data-science,"What is data science, why is it so popular, and why did the Harvard Business Review hail it as the “sexiest job of the 21st century”? In this non-technical course, you’ll be introduced to everything you were ever too afraid to ask about this fast-growing and exciting field, without needing to write a single line of code. Through hands-on exercises, you’ll learn about the different data scientist roles, foundational topics like A/B testing, time series analysis, and machine learning, and how data scientists extract knowledge and insights from real-world data. So don’t be put off by the buzzwords. Start learning, gain skills in this hugely in-demand field, and discover why data science is for everyone!"
Intermediate Python,https://www.datacamp.com/courses/intermediate-python,"Improve Your Python Skills | Learning Python is crucial for any aspiring data science practitioner. Learn to visualize real data with Matplotlib’s functions and get acquainted with data structures such as the dictionary and pandas DataFrame. This four-hour intermediate course will help you to build on your existing Python skills and explore new Python applications and functions that expand your repertoire and help you work more efficiently. | Learn to Use Python Dictionaries and pandas | Dictionaries offer an alternative to Python lists, while the pandas dataframe is the most popular way of working with tabular data. In the second chapter of this course, you’ll find out how you can create and manipulate datasets, and how to access them using these structures. Hands-on practice throughout the course will build your confidence in each area. | Explore Python Boolean Logic and Python Loops | In the second half of this course, you’ll look at logic, control flow, filtering and loops. These functions work to control decision-making in Python programs and help you to perform more operations with your data, including repeated statements. You’ll finish the course by applying all of your new skills by using hacker statistics to calculate your chances of winning a bet. | Once you’ve completed all of the chapters, you’ll be ready to apply your new skills in your job, new career, or personal project, and be prepared to move onto more advanced Python learning."
Joining Data in SQL,https://www.datacamp.com/courses/joining-data-in-sql,"Joining data is an essential skill in data analysis, enabling you to draw information from separate tables together into a single, meaningful set of results. In this comprehensive course on joining data, you'll delve into the intricacies of table joins and relational set theory, learning how to optimize your queries for efficient data retrieval. | Understand Data Joining Fundamentals | You will learn how to work with multiple tables in SQL by navigating and extracting data from various tables within a SQL database using various join types, including inner joins, outer joins, and cross joins. With practice, you'll gain the knowledge of how to select the appropriate join method. | Explore Advanced Data Manipulation Techniques | Next up, you'll explore set theory principles such as unions, intersects, and except clauses, as well as discover the power of nested queries in SQL. Every step is accompanied by exercises and opportunities to apply the theory and grow your confidence in SQL."
Introduction to Excel,https://www.datacamp.com/courses/introduction-to-excel,"Getting started with Excel | In this Excel course, you’ll learn the fundamentals needed to have you analyzing data in spreadsheets before you know it. This course focuses on helping you navigate Excel and prepare your data for basic analysis. You’ll learn how to manage tables and apply calculations to your data to provide new insights | Learn Functions | You’ll learn about the many available functions in Excel that can help you to perform calculations, analyze data and, in some cases, automate tasks. We’ll start your journey into understanding the full potential of Excel’s functions and leverage built-ins such as SUM, AVERAGE, COUNT, UPPER, LEFT, and more. | Visualizing data | We’ll finish this course by explaining the basics of using Excel to effectively communicate data through compelling visuals. You’ll explore the versatility of area, column, and pie charts to help tell a story to bring your analysis to life."
